2019 deficit (MW),2019 generation (MW),2019 storage (MW),2020 deficit (MW),2020 generation (MW),2020 storage (MW),2021 deficit (MW),2021 generation (MW),2021 storage (MW),2022 deficit (MW),2022 generation (MW),2022 storage (MW),2023 deficit (MW),2023 generation (MW),2023 storage (MW),2024 deficit (MW),2024 generation (MW),2024 storage (MW)
0.0,140.38770668600944,207.84461867513016,0.0,180.10945727554756,239.62201914676066,0.0,211.10297396761638,263.30167998948394,0.0,163.9529221819803,226.6967910719069,0.0,196.3497341134655,252.61424061709502,0.0,160.62426044334876,224.03386168100164
0.0,141.38397978658847,240.95180250440094,0.0,188.86218742620235,310.71176908772253,0.0,214.57686911646846,351.06890665264524,0.0,163.9118638863868,277.8262821810163,0.0,205.18376827872544,336.76125524007534,0.0,149.64594605405523,263.75061852424585
0.0,138.81580487053935,272.0044464008324,0.0,186.94169638647833,351.06890665264524,0.0,207.19237445647997,351.06890665264524,0.0,149.76718527690167,317.64003040253766,0.0,202.7597036855445,351.06890665264524,0.0,123.62810682880844,282.6531039872926
0.0,145.25677130845895,308.20986344759956,0.0,167.48637333276793,351.06890665264524,0.0,189.01148371933215,351.06890665264524,0.0,121.47782805793135,334.82229284888274,0.0,187.43358335701862,351.06890665264524,0.0,101.30632678355956,283.69816541414025
0.0,144.76407176133682,344.02112085666903,0.0,139.915942574975,351.06890665264524,0.0,145.46806133327001,351.06890665264524,0.0,104.04604807121967,338.0591313058585,0.0,155.5588426853324,351.06890665264524,0.0,71.5356206168953,255.23378603103555
0.0,115.43738314619394,351.06890665264524,0.0,100.06014309232157,351.06890665264524,0.0,101.21496133920151,351.06890665264524,0.0,90.49712103613136,328.5562523419899,0.0,114.21325797839589,351.06890665264524,0.0,52.734792562935446,207.968578593971
0.0,68.04210467434902,319.11101132699423,0.0,59.40330055730375,310.472207209949,0.0,69.69805874494021,320.76696539758547,0.0,53.41478794749463,281.9710402894845,0.0,72.02557192350147,323.0944785761467,0.0,37.66345828455971,145.6320368785307
0.0,23.420292596520795,337.84724540421087,0.0,22.506136087128763,328.477116079652,0.0,41.55881039568163,351.06890665264524,0.0,27.313206977897078,303.82160587180215,0.0,28.55339212229155,345.9371922739799,0.0,25.512138452814536,166.04174764078232
0.0,1.15044485320019,338.767601286771,0.0,1.355736331167745,329.5617051445862,0.0,23.63026797893841,351.06890665264524,0.0,4.559095964043486,307.4688826430369,0.0,13.991629944216228,351.06890665264524,0.0,19.133165746576132,181.34828023804323
0.0,2.4634977356106607,340.73839947525954,0.0,9.073883326165934,336.82081180551893,0.0,28.494457141896643,351.06890665264524,0.0,8.868591848198378,314.56375612159565,0.0,25.53825985916385,351.06890665264524,0.0,19.831156771665817,197.21320565537587
0.0,10.88044833228042,349.44275814108386,0.0,20.816555865910086,351.06890665264524,0.0,27.509058047652378,351.06890665264524,0.0,15.43791914316014,326.9140914361238,0.0,28.57657373308366,351.06890665264524,0.0,19.338457224543685,212.68397143501082
0.0,17.49083392283569,351.06890665264524,0.0,22.828412349992128,351.06890665264524,0.0,26.64683384018865,351.06890665264524,0.0,16.751784602152494,340.3155191178458,0.0,28.20704907274207,351.06890665264524,0.0,17.57295051402271,226.74233184622898
0.0,17.285542444868135,351.06890665264524,0.0,20.447031205568486,351.06890665264524,0.0,26.277309179847048,351.06890665264524,0.0,15.561094029940673,351.06890665264524,0.0,22.458887689650528,351.06890665264524,0.0,17.20342585368111,240.50507252917387
0.0,13.836645615013213,351.06890665264524,0.0,17.326600740461647,351.06890665264524,0.0,25.456143267976827,351.06890665264524,0.0,15.602152325534185,351.06890665264524,0.0,19.338457224543685,351.06890665264524,0.0,18.2709415391124,255.1218257604638
0.0,9.032825030572422,351.06890665264524,0.0,14.000878797387255,351.06890665264524,0.0,25.250851790009275,351.06890665264524,0.0,14.082995388574277,351.06890665264524,0.0,17.983533469957823,351.06890665264524,0.0,18.353058130299424,269.80427226470334
0.0,4.598529106473233,351.06890665264524,0.0,10.757273445499886,351.06890665264524,0.0,23.895928035423406,351.06890665264524,0.0,11.947964017711703,351.06890665264524,0.0,16.341201646217385,351.06890665264524,0.0,18.353058130299424,284.48671876894286
0.0,2.0939730752690617,351.06890665264524,0.0,7.883192753954114,351.06890665264524,0.0,20.857614161503594,351.06890665264524,0.0,8.991766734978912,351.06890665264524,0.0,12.892304816362458,351.06890665264524,0.0,19.502690406917733,300.08887109447704
0.0,2.5866726223911933,351.06890665264524,0.0,5.748161383091542,351.06890665264524,0.0,19.58480699810475,351.06890665264524,0.0,8.088484231921669,351.06890665264524,0.0,10.264573898377753,351.06890665264524,0.0,20.939730752690615,316.84065569662954
0.0,4.557470810879723,351.06890665264524,0.0,4.393237628505678,351.06890665264524,0.0,18.886815973015064,351.06890665264524,0.0,9.566582873288066,351.06890665264524,0.0,9.689757760068598,351.06890665264524,0.0,20.816555865910086,333.49390038935763
0.0,12.579587917440449,351.06890665264524,0.0,9.961918429208652,351.06890665264524,0.0,22.084177059047306,351.06890665264524,0.0,17.33228877653482,351.06890665264524,0.0,14.190922875340286,351.06890665264524,0.0,26.929868515663486,351.06890665264524
0.0,43.04665995603062,351.06890665264524,0.0,37.94455729610046,351.06890665264524,0.0,50.219362525396484,351.06890665264524,0.0,45.56208999356958,351.06890665264524,0.0,40.00753350552892,351.06890665264524,0.0,62.612969247793316,351.06890665264524
0.0,94.07925418251973,351.06890665264524,0.0,85.51494295665421,351.06890665264524,0.0,87.43411935398477,351.06890665264524,0.0,98.5981044275516,351.06890665264524,0.0,92.32543405491542,351.06890665264524,0.0,116.7124364842972,351.06890665264524
0.0,139.65790621849726,351.06890665264524,0.0,130.28086535735068,351.06890665264524,0.0,121.89197183096432,351.06890665264524,0.0,146.62094391621585,351.06890665264524,0.0,141.1074457237687,351.06890665264524,0.0,159.7748459061539,351.06890665264524
0.0,173.2997787538682,351.06890665264524,0.0,164.23026882138197,351.06890665264524,0.0,141.84486989128814,351.06890665264524,0.0,183.3228783381762,351.06890665264524,0.0,175.5998558836867,351.06890665264524,0.0,192.40032248143996,351.06890665264524
0.0,193.65919688721772,351.06890665264524,0.0,184.99020848091376,351.06890665264524,0.0,161.40487012543701,351.06890665264524,0.0,206.4448888592076,351.06890665264524,0.0,193.5327716941097,351.06890665264524,0.0,212.00056843460047,351.06890665264524
0.0,196.40166641539383,351.06890665264524,0.0,194.54316910735102,351.06890665264524,0.0,161.22051408355716,351.06890665264524,0.0,216.03809520465654,351.06890665264524,0.0,197.18777257851406,351.06890665264524,0.0,219.3774393945817,351.06890665264524
0.0,186.98194210549,351.06890665264524,0.0,190.81367533176692,351.06890665264524,0.0,137.84127978262987,351.06890665264524,0.0,215.6359485253106,351.06890665264524,0.0,189.7497204634335,351.06890665264524,0.0,214.86865057930274,351.06890665264524
