Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,,,,,,,
Ross River Solar Farm ,264.7537362,19.03464233,68.43986108,58411945.26,188.2737962,57442684.29,969260.9762,,264.7101761,18.97600298,68.65328827,58409369.21,188.265493,57473112.81,936256.4008,,-0.043560099,-0.058639345,0.213427194,-2576.049269,-0.00830314,30428.52613,-33004.5754
Childers Solar Farm,289.0363187,28.88047577,89.88488664,71320916.84,229.8820849,68838800.23,2482116.608,,291.7306281,28.20968022,89.83759714,71310839.65,229.849604,68987387.21,2323452.441,,2.694309383,-0.670795548,-0.047289506,-10077.1902,-0.032480871,148586.9764,-158664.1666
Haughton Solar Farm,262.2855004,28.71390041,70.86145601,62387451.95,201.0876775,60527684.86,1859767.092,,262.285504,28.71401516,70.86145441,62387413.78,201.0875545,60527718.22,1859695.559,,3.60342E-06,0.000114752,-1.59276E-06,-38.1790259,-0.000123059,33.3540407,-71.53306652
Cattle Hill Wind Farm ,236.4747268,78.53011005,137.7946814,103493798.4,333.5819448,88248739.3,15245059.08,,236.4732382,78.53133981,137.7944969,103493753.2,333.5817991,88248853.88,15244899.28,,-0.001488619,0.001229755,-0.000184447,-45.21051,-0.000145723,114.5807352,-159.7912459
Granville Harbour Wind Farm,343.1998626,80.0642444,85.73365418,110494887.7,356.1479055,89781344.98,20713542.69,,342.2053237,75.96847066,87.21004517,110401714.9,355.8475903,88830449.95,21571264.94,,-0.994538855,-4.095773733,1.476390988,-93172.77687,-0.300315155,-950895.0214,857722.2445
"Huxley Wind Farm, King Island",271.2614925,61.80998218,81.24436645,85066038.77,274.1854594,73893964.23,11172074.54,,270.1217149,49.46896144,90.92208677,85062617.7,274.1744326,72576130.73,12486486.98,,-1.139777617,-12.34102074,9.677720319,-3421.068745,-0.011026813,-1317833.507,1314412.438
Musselroe Wind Farm,211.4710207,57.20230423,133.5356599,89304772.71,287.8477767,77709563.94,11595208.77,,211.3584694,57.24633173,133.5238884,89294366.56,287.8142355,77704573.62,11589792.95,,-0.112551283,0.044027498,-0.011771474,-10406.14614,-0.033541164,-4990.326927,-5415.819213
Studland Bay Wind Farm ,278.3271455,51.65057687,98.84783629,89993623.93,290.0680868,76264084.29,13729539.64,,274.10864,52.50290318,98.60170031,89973690.17,290.0038362,75894274.56,14079415.6,,-4.218505494,0.852326318,-0.246135977,-19933.75735,-0.064250628,-369809.7258,349875.9684
Sample data,203.2522692,66.61874822,119.8249219,92283379.28,297.4484425,75941900.87,16341478.41,,203.1131704,66.62983189,119.8448576,92282743.55,297.4463934,75931759.74,16350983.81,,-0.139098875,0.011083663,0.019935753,-635.7274511,-0.002049081,-10141.13198,9505.404532
Northern Midland Solar Farm,339.1968821,64.57475282,115.3711402,114086038.3,367.7229277,92145900.49,21940137.81,,339.2088823,64.12214926,115.3801759,114068970.1,367.6679131,92018484.62,22050485.43,,0.012000142,-0.452603559,0.00903564,-17068.25302,-0.055014514,-127415.8758,110347.6228
Weasel Solar Farm ,298.7600558,53.23034404,120.1339921,100029129.8,322.4146006,84716530,15312599.85,,295.3234051,53.36511437,120.545487,100026258,322.4053441,84405458.84,15620799.15,,-3.436650742,0.134770327,0.411494895,-2871.853879,-0.00925658,-311071.1606,308199.3068
Bell Bay Solar Farm,313.4912074,65.35807579,119.7165472,107985654.6,348.0601276,90069724.6,17915928.76,,324.8751277,61.97218039,117.4717108,107947705.9,347.937811,90028081.97,17919623.89,,11.38392028,-3.385895405,-2.244836341,-37948.72894,-0.122316612,-41642.62762,3695.126921
King Island Solar Farm  ,271.2614925,61.80998218,81.24436645,85066038.77,274.1854594,73893964.23,11172074.54,,270.1217149,49.46896144,90.92208677,85062617.7,274.1744326,72576130.73,12486486.98,,-1.139777617,-12.34102074,9.677720319,-3421.068745,-0.011026813,-1317833.507,1314412.438
Woakwine Wind farm,353.4883409,43.1816086,111.9242421,96660860.28,311.5579703,86965961.14,9694899.139,,386.6673088,35.14540301,124.1153824,96606478.75,311.3826873,92042994.06,4563484.687,,33.17896782,-8.036205591,12.19114033,-54381.53308,-0.175282943,5077032.918,-5131414.451
Robertstown Solar Project,251.6195977,39.79885565,101.6423127,85356645.61,275.1221454,70005611.25,15351034.36,,252.3766429,40.19406777,100.3935593,85355180.81,275.117424,69908833.44,15446347.36,,0.757045124,0.395212123,-1.248753387,-1464.798049,-0.004721347,-96777.80312,95313.00507
Goyder South Hybrid Renewable Power Station,212.9455692,50.69624258,88.03184848,83972835.04,270.6618374,64680885.19,19291949.85,,212.0406587,51.02003774,88.80939405,83965589.05,270.638482,64849295.89,19116293.16,,-0.904910498,0.32379516,0.777545562,-7245.995566,-0.023355344,168410.6971,-175656.6926
Cleve Wind Farm,307.035973,33.45438776,73.8813179,84012791.6,270.7906256,68549098.61,15463692.99,,307.0349313,33.45532172,73.89396588,84012682.43,270.7902737,68552383.21,15460299.22,,-0.001041621,0.00093396,0.012647985,-109.1792896,-0.000351907,3284.594633,-3393.773923
Yoorndoo Ilga Solar,278.0667928,43.9042706,76.09684201,83289402.11,268.4589915,68315591.63,14973810.48,,277.7131466,45.36680998,81.49503887,83278780.34,268.4247553,70037961.92,13240818.42,,-0.353646195,1.462539382,5.398196863,-10621.7745,-0.034236179,1722370.289,-1732992.064
Bodangora Wind Farm ,175.2163836,104.9308748,125.570475,93441150.83,301.1801799,84790341.5,8650809.507,,173.5112647,105.327083,126.2250602,93435845.03,301.1630783,84843716.53,8592128.5,,-1.705118934,0.396208254,0.654585218,-5305.794767,-0.017101675,53375.03446,-58681.00727
Sapphire Wind Farm,249.6119755,36.95246603,87.76722666,66524743.02,214.4230234,65459100.42,1065642.6,,244.497475,37.638454,87.56094121,66508906.75,214.3719798,64932964.97,1575941.775,,-5.114500504,0.685987963,-0.206285456,-15836.27425,-0.051043591,-526135.4495,510299.1753
Metz Solar Farm ,270.5069017,49.08611346,89.86721457,78928361.08,254.4024531,72253049.28,6675311.791,,271.6765314,48.85458347,89.08127765,78920993.15,254.3787048,72144171.59,6776821.566,,1.169629671,-0.231529984,-0.785936918,-7367.921081,-0.023748335,-108877.6961,101509.775
Bullawah Wind Farm,241.6746005,53.7258688,125.0077243,94117710.51,303.3608719,78555251.61,15562458.9,,241.6681713,53.72807637,125.0108297,94117635.61,303.3606305,78555818.57,15561817.04,,-0.006429157,0.002207576,0.003105371,-74.8989363,-0.000241415,566.9614911,-641.8604275
Sunraysia Solar Farm,258.1279333,52.1503328,112.1716207,88218871.97,284.3476937,77067737.2,11151134.77,,258.1669966,52.14245793,105.5598266,88158582.8,284.1533692,75423418.94,12735163.86,,0.039063291,-0.007874865,-6.611794106,-60289.162,-0.194324454,-1644318.253,1584029.091
Hunter Coast Offshore Wind Project (proposed) ,329.9013446,23.35945962,106.7771581,83524069.54,269.2153732,76828765.95,6695303.582,,336.2463215,0.437008158,129.6738487,83315457.49,268.5429734,76721575.56,6593881.936,,6.344976852,-22.92245146,22.89669063,-208612.0443,-0.672399821,-107190.3984,-101421.6459
Muswellbrook Solar Farm ,286.7464241,18.7730605,119.3783319,81123460.19,261.4777121,72953827.55,8169632.642,,286.7466487,18.77288462,119.3783032,81123459.39,261.4777096,72953798.98,8169660.41,,0.000224617,-0.000175885,-2.87163E-05,-0.804293603,-2.5924E-06,-28.5717126,27.76741904
Wollongong Offshore Wind Project (proposed),408.6432983,21.84420031,121.6435201,96128617.03,309.8424401,90464679.06,5663937.974,,408.6440142,21.84426855,121.6432299,96128611.57,309.8424225,90464720.83,5663890.736,,0.000715877,6.82439E-05,-0.000290254,-5.464709908,-1.76139E-05,41.77291709,-47.23762697
Shoalhaven Solar Farm ,336.1397546,31.30981887,116.755967,89713233.86,289.1643315,82441942.25,7271291.614,,352.9026228,21.42175297,113.7997123,89499144.14,288.474276,81046045.56,8453098.582,,16.76286813,-9.888065895,-2.956254738,-214089.7151,-0.690055488,-1395896.683,1181806.968
