2019 deficit (MW),2019 generation (MW),2019 storage (MW),2020 deficit (MW),2020 generation (MW),2020 storage (MW),2021 deficit (MW),2021 generation (MW),2021 storage (MW),2022 deficit (MW),2022 generation (MW),2022 storage (MW),2023 deficit (MW),2023 generation (MW),2023 storage (MW),2024 deficit (MW),2024 generation (MW),2024 storage (MW)
0.0,210.45248472264836,228.29052601932113,0.0,204.9400382622827,228.29052601932113,0.0,193.84994523191654,227.273640198414,0.0,183.01996865846516,218.6096589396529,0.0,194.5003432463325,227.79395860994677,0.0,195.15080538402586,228.29052601932113
0.0,231.20185927494282,304.38736802576153,0.0,229.38068071130067,304.38736802576153,0.0,214.16021295497384,303.3704822048544,0.0,205.76942664902103,294.7065009460933,0.0,215.9489197103532,303.89080061638714,0.0,206.35479554920832,304.38736802576153
0.0,240.53580285589558,304.38736802576153,0.0,239.41386895283117,304.38736802576153,0.0,225.85202834900053,304.38736802576153,0.0,215.3960653672803,304.38736802576153,0.0,225.59182639438257,304.38736802576153,0.0,188.2723414107675,304.38736802576153
0.0,240.45442027819368,304.38736802576153,0.0,236.51936801360276,304.38736802576153,0.0,214.1114304320894,304.38736802576153,0.0,194.12637240345296,304.38736802576153,0.0,223.1201215697697,304.38736802576153,0.0,170.40126395520863,304.38736802576153
0.0,232.3398901483711,304.38736802576153,0.0,221.33135069111302,304.38736802576153,0.0,168.4824562225203,304.38736802576153,0.0,151.0502718519408,304.38736802576153,0.0,207.72074893882376,304.38736802576153,0.0,139.09838274985083,304.38736802576153
0.0,212.9888125474002,304.38736802576153,0.0,193.4432888365164,304.38736802576153,0.0,104.5433404770067,304.38736802576153,0.0,128.82093990308576,304.38736802576153,0.0,180.38562692500315,304.38736802576153,0.0,95.3230161633351,299.71038418909666
0.0,179.10022251048434,304.38736802576153,0.0,156.30260185539157,304.38736802576153,0.0,94.90041241855157,299.2877804443131,0.0,104.72171099098145,304.38736802576153,0.0,141.39118269984453,304.38736802576153,0.0,80.05340251888566,279.7637867079823
0.0,130.49530066070758,304.38736802576153,0.0,103.38850727716392,304.38736802576153,0.0,85.22494842855632,304.38736802576153,0.0,67.40239700277256,304.38736802576153,0.0,94.20101813699335,304.38736802576153,0.0,84.24869948694608,304.38736802576153
0.0,75.33718865537065,304.38736802576153,0.0,51.48255633931332,304.38736802576153,0.0,41.433399373973636,304.38736802576153,0.0,27.35124035861019,304.38736802576153,0.0,51.17357186181094,304.38736802576153,0.0,57.59668241448789,304.38736802576153
0.0,49.09157148520326,304.38736802576153,0.0,31.253436075274312,304.38736802576153,0.0,27.806123541824526,304.38736802576153,0.0,3.3497688621067114,304.38736802576153,0.0,39.48141447697182,304.38736802576153,0.0,22.960407184922307,304.38736802576153
