2019 deficit (MW),2019 generation (MW),2019 storage (MW),2020 deficit (MW),2020 generation (MW),2020 storage (MW),2021 deficit (MW),2021 generation (MW),2021 storage (MW),2022 deficit (MW),2022 generation (MW),2022 storage (MW),2023 deficit (MW),2023 generation (MW),2023 storage (MW),2024 deficit (MW),2024 generation (MW),2024 storage (MW)
0.0,184.57057577120594,317.6719092883984,0.0,208.53206018014527,336.8410968155499,0.0,176.7299123046848,311.3993785151815,0.0,201.82091703481873,331.47218229928865,0.0,186.5409323342011,319.24819453879456,0.0,199.25340235386838,329.4181705545284
0.0,195.4897352552293,394.06369749258187,0.0,221.65974580567405,434.1688934600892,0.0,177.17711782750897,373.1410727771887,0.0,210.62058344150634,419.96864905249373,0.0,198.68354168833108,398.1950278894594,0.0,200.2965418734621,409.65540405329807
0.0,197.19013634294916,471.8158065669412,0.0,223.50948742793204,500.0308973428674,0.0,174.04463896576382,432.37678394979974,0.0,209.51509624956802,500.0308973428674,0.0,195.19207428714094,474.3486873191722,0.0,187.04762924660344,479.2935074505808
0.0,189.28365686072428,500.0308973428674,0.0,211.9025046002031,500.0308973428674,0.0,163.7222295593004,483.3545675972401,0.0,198.6535919733444,500.0308973428674,0.0,176.0066307006573,500.0308973428674,0.0,181.76489151174542,500.0308973428674
0.0,171.02400217625888,500.0308973428674,0.0,190.8974731266457,500.0308973428674,0.0,150.26693325069655,500.0308973428674,0.0,177.7972889737324,500.0308973428674,0.0,136.32346461361143,500.0308973428674,0.0,158.37204364715774,500.0308973428674
0.0,141.93381303154453,500.0308973428674,0.0,160.9126689160854,500.0308973428674,0.0,132.81306458810508,500.0308973428674,0.0,146.17035094384482,500.0308973428674,0.0,113.52797888717657,500.0308973428674,0.0,127.46104249418403,500.0308973428674
0.0,103.41562552601509,500.0308973428674,0.0,120.18717939023621,500.0308973428674,0.0,105.63251649562214,500.0308973428674,0.0,104.60810558014703,500.0308973428674,0.0,87.21209614555289,487.24299348842027,0.0,90.22518418774658,490.256081530614
0.0,60.213694585361225,500.0308973428674,0.0,71.10698475834994,500.0308973428674,0.0,68.72569701364291,500.0308973428674,0.0,57.257853710572086,500.0308973428674,0.0,51.31907852877354,500.0308973428674,0.0,48.93167017813848,500.0308973428674
0.0,31.15590339800476,500.0308973428674,0.0,30.291034026947894,500.0308973428674,0.0,46.20016676248334,500.0308973428674,0.0,22.052251397103127,500.0308973428674,0.0,20.38057590318435,500.0308973428674,0.0,16.70941021207414,500.0308973428674
0.0,36.89176324141738,500.0308973428674,0.0,26.862934399090328,500.0308973428674,0.0,36.056027504556795,500.0308973428674,0.0,23.758773090751003,500.0308973428674,0.0,21.609738338823774,500.0308973428674,0.0,19.401008177120794,500.0308973428674
0.0,47.15937372284746,500.0308973428674,0.0,35.27998717747196,500.0308973428674,0.0,36.29480914365982,500.0308973428674,0.0,38.264757666259776,500.0308973428674,0.0,38.44384389558705,500.0308973428674,0.0,34.56364226016289,500.0308973428674
0.0,48.71145437701713,500.0308973428674,0.0,39.04079799334461,500.0308973428674,0.0,37.78719438805373,500.0308973428674,0.0,44.771557331817206,500.0308973428674,0.0,48.114500279259566,500.0308973428674,0.0,32.95186619621747,500.0308973428674
0.0,48.890540606344395,500.0308973428674,0.0,39.21988422267188,500.0308973428674,0.0,39.876533730205196,500.0308973428674,0.0,48.114500279259566,500.0308973428674,0.0,51.69622486580494,500.0308973428674,0.0,28.41501505325999,500.0308973428674
0.0,47.9354140499323,500.0308973428674,0.0,37.42902192939919,500.0308973428674,0.0,41.3689189745991,500.0308973428674,0.0,49.12932224544742,500.0308973428674,0.0,52.412569783114016,500.0308973428674,0.0,30.444658985635705,500.0308973428674
0.0,45.189425200247506,500.0308973428674,0.0,34.92181471881742,500.0308973428674,0.0,38.50353930536281,500.0308973428674,0.0,48.71145437701713,500.0308973428674,0.0,52.114092734235236,500.0308973428674,0.0,34.98151012859318,500.0308973428674
0.0,40.71226946706579,500.0308973428674,0.0,31.340090132272053,500.0308973428674,0.0,34.56364226016289,500.0308973428674,0.0,48.114500279259566,500.0308973428674,0.0,51.45744322670191,500.0308973428674,0.0,28.41501505325999,500.0308973428674
0.0,35.51876881657499,500.0308973428674,0.0,27.81806095550243,500.0308973428674,0.0,32.89217078644171,500.0308973428674,0.0,47.219069132623225,500.0308973428674,0.0,50.800793719168595,500.0308973428674,0.0,20.594916372635918,500.0308973428674
0.0,29.907400297653897,500.0308973428674,0.0,24.7138996471631,500.0308973428674,0.0,34.08607898195683,500.0308973428674,0.0,46.5624196250899,500.0308973428674,0.0,49.84566716275649,500.0308973428674,0.0,23.57968686142373,500.0308973428674
0.0,24.176640959181295,500.0308973428674,0.0,22.32608325613285,500.0308973428674,0.0,31.757958000702345,500.0308973428674,0.0,45.07003438069599,500.0308973428674,0.0,48.71145437701713,500.0308973428674,0.0,30.444658985635705,500.0308973428674
0.0,19.90790910972072,500.0308973428674,0.0,20.92293509610618,500.0308973428674,0.0,27.698670135950916,500.0308973428674,0.0,41.96526101176387,500.0308973428674,0.0,48.53175608709706,500.0308973428674,0.0,28.41501505325999,500.0308973428674
0.0,36.555175669647895,500.0308973428674,0.0,25.45305357254283,500.0308973428674,0.0,46.109909577128114,500.0308973428674,0.0,44.79293819850466,500.0308973428674,0.0,61.149276456864285,500.0308973428674,0.0,31.304427851752553,500.0308973428674
0.0,84.74116327608343,500.0308973428674,0.0,74.97963764646288,500.0308973428674,0.0,67.44357183474855,500.0308973428674,0.0,61.31979383789233,500.0308973428674,0.0,103.60532080561761,500.0308973428674,0.0,83.34719602494879,500.0308973428674
0.0,129.55466626048513,500.0308973428674,0.0,127.07434846192604,500.0308973428674,0.0,88.4769208617118,500.0308973428674,0.0,95.72124229106817,500.0308973428674,0.0,148.48076342196867,500.0308973428674,0.0,105.99599347941427,500.0308973428674
0.0,161.83560153533722,500.0308973428674,0.0,166.81639387795727,500.0308973428674,0.0,104.61667442844626,500.0308973428674,0.0,132.00156600069835,500.0308973428674,0.0,176.07897536268433,500.0308973428674,0.0,126.79178498846011,500.0308973428674
