Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,Diff between ,,,,LCOE,,
Ross River Solar Farm ,278.8359337,46.74843941,65.62640067,72928435.92,235.0634518,66633187.49,6295248.438,,278.782987,46.71170816,65.29789834,72926617.69,235.0575913,66533723.06,6392894.638,,0.052946654,0.036731251,0.328502329,1818.23128,0.005860536,99464.43139,-97646.20011
Childers Solar Farm,386.3232616,31.27066066,84.9774843,109337622.5,352.4178,81123737.73,28213884.72,,386.3205975,31.27122694,84.97696841,109337615.6,352.4177778,81123422.52,28214193.04,,0.002664074,-0.000566278,0.000515892,6.897515997,2.22321E-05,315.2167266,-308.3192106
Haughton Solar Farm,258.8114364,61.39153033,66.84720276,71661435.66,230.9796476,68545999.96,3115435.695,,258.0255495,61.1492599,64.12181135,71616126.85,230.8336079,67693260.44,3922866.41,,0.785886884,0.242270437,2.725391411,45308.80398,0.146039658,852739.5184,-807430.7144
Cattle Hill Wind Farm ,287.8432186,125.4036723,106.7618986,112930266.7,363.9976364,100876303.9,12053962.79,,287.862874,125.2731556,106.7890171,112930576.3,363.9986345,100847801.1,12082775.23,,-0.019655322,0.130516741,-0.027118494,-309.666556,-0.000998119,28502.77827,-28812.44482
Granville Harbour Wind Farm,337.8843149,57.02944073,122.2972444,102375915.7,329.9787776,91510480.26,10865435.48,,337.8842092,57.0305391,122.296357,102375793.8,329.9783846,91510563.76,10865230.05,,0.00010571,-0.001098372,0.000887427,121.928603,0.000393001,-83.5033236,205.431927
"Huxley Wind Farm, King Island",395.2886936,60.65324814,93.90898051,99785761.55,321.6301742,93050187.09,6735574.46,,395.195433,60.66082102,93.95461639,99784339.33,321.6255901,93051468.2,6732871.124,,0.093260629,-0.007572884,-0.04563588,1422.227581,0.004584134,-1281.108636,2703.336217
Musselroe Wind Farm,305.9451943,65.77614256,109.5728157,106211483.3,342.3416061,86669932.22,19541551.06,,304.8795941,65.83361882,106.7574041,106111220.8,342.0184394,85844844.64,20266376.17,,1.065600222,-0.057476267,2.815411545,100262.4676,0.323166696,825087.5769,-724825.1093
Studland Bay Wind Farm ,290.1317954,71.11844075,94.26936958,84207921.54,271.4195698,82323698.98,1884222.562,,298.4523189,69.34151466,94.61713486,84184824.47,271.3451232,82991016.29,1193808.175,,-8.32052349,1.776926086,-0.347765279,23097.07217,0.074446647,-667317.3149,690414.3871
Sample data,328.852133,32.2785527,133.6567753,107265277.1,345.7382017,85973408.5,21291868.57,,348.7667577,27.245889,153.1699777,107227220.1,345.6155363,91998400.01,15228820.11,,-19.91462465,5.032663696,-19.51320238,38056.94724,0.122665422,-6024991.514,6063048.462
Northern Midland Solar Farm,438.3444016,83.94164644,114.1180848,113792107.8,366.7755286,110509271.1,3282839.463,,429.4185542,89.36046768,107.6937897,113713819.4,366.523189,109304480.4,4409338.999,,8.925847345,-5.418821236,6.424295112,78288.37123,0.252339633,1204790.739,-1126499.535
Weasel Solar Farm ,295.8073469,62.71865587,124.8805894,117111254,377.4738244,88261567.84,28849686.18,,289.4366397,67.32254868,124.4308028,116962117,376.9931248,88645432.62,28316684.36,,6.370707181,-4.603892809,0.449786632,149137.035,0.480699549,-383864.7796,533001.8147
Bell Bay Solar Farm,382.8930408,24.78689237,144.6665468,100866960.1,325.115101,93661921.5,7205038.582,,387.084854,23.1798123,142.787836,100827761.9,324.9887572,93279991.45,7547770.473,,-4.19181326,1.607080072,1.878710836,39198.15472,0.12634377,381930.0457,-342731.891
King Island Solar Farm  ,395.2886936,60.65324814,93.90898051,99785761.55,321.6301742,93050187.09,6735574.46,,395.195433,60.66082102,93.95461639,99784339.33,321.6255901,93051468.2,6732871.124,,0.093260629,-0.007572884,-0.04563588,1422.227581,0.004584134,-1281.108636,2703.336217
Woakwine Wind farm,316.6726536,76.12844413,96.91556345,91394825.13,294.5844484,87931652.1,3463173.025,,330.558536,66.95593942,95.72579683,91368022.83,294.4980591,86804387.78,4563635.049,,-13.88588238,9.172504713,1.189766619,26802.29798,0.086389357,1127264.322,-1100462.024
Robertstown Solar Project,199.5304887,33.69253896,128.3107026,71521595.26,230.528913,68017663.89,3503931.368,,197.7901878,28.65823346,134.354261,71506364.43,230.4798209,67834187.49,3672176.943,,1.74030091,5.034305495,-6.043558444,15230.82713,0.04909211,183476.403,-168245.5759
Goyder South Hybrid Renewable Power Station,186.3546754,40.47453632,120.5281467,70079000.42,225.8791311,66309996.61,3769003.814,,169.9900131,45.34979561,129.2015735,71223177.83,229.5670518,67729018.11,3494159.715,,16.36466225,-4.875259284,-8.673426739,-1144177.41,-3.687920742,-1419021.509,274844.0987
Cleve Wind Farm,255.4903098,29.24168971,99.56312701,69479331.89,223.9462752,66936066.18,2543265.708,,195.4609495,36.2307582,120.8395338,73524077.78,236.9833289,66356402.01,7167675.77,,60.02936035,-6.989068484,-21.27640682,-4044745.894,-13.03705365,579664.1684,-4624410.062
Yoorndoo Ilga Solar,220.8514706,26.97419399,120.81106,70906262.8,228.5455691,67009434.05,3896828.757,,220.8526887,26.97339033,120.8108934,70906276.31,228.5456126,67009319.95,3896956.365,,-0.00121808,0.000803661,0.000166545,-13.51092981,-4.35485E-05,114.0970489,-127.6079787
Bodangora Wind Farm ,324.3146821,43.51812917,92.7857996,99277976.78,319.9934788,78452952.15,20825024.63,,324.1887204,43.53900378,92.89386006,99277386.3,319.9915755,78469334.91,20808051.39,,0.125961789,-0.020874611,-0.108060466,590.4812045,0.001903243,-16382.75765,16973.23885
Sapphire Wind Farm,291.068854,36.62325928,108.0075417,95540213.5,307.9458936,75866652.05,19673561.45,,291.0690971,36.62206368,108.0085334,95540173.23,307.9457638,75866584.42,19673588.81,,-0.000243051,0.001195599,-0.000991717,40.2655337,0.000129784,67.6258813,-27.3603475
Metz Solar Farm ,240.6232939,41.48247884,120.1519611,96061428.63,309.6258779,73656691.61,22404737.02,,233.6538547,39.56753207,143.3705923,95772566,308.6948138,77967792.14,17804773.86,,6.969439204,1.914946764,-23.2186312,288862.6298,0.931064077,-4311100.531,4599963.16
Bullawah Wind Farm,320.8229654,36.28899239,98.21579338,83198702.58,268.1666481,77249463.09,5949239.498,,326.7891698,35.47786897,96.27608021,83170822.17,268.0767838,77316868.28,5853953.89,,-5.96620438,0.811123421,1.939713164,27880.41922,0.089864365,-67405.18877,95285.60799
Sunraysia Solar Farm,328.4693748,35.22178024,102.5201654,84405402.65,272.0560923,79019492.78,5385909.875,,354.0838226,22.14639394,107.2386974,84346808.44,271.8672311,79777234.63,4569573.812,,-25.61444776,13.0753863,-4.718531964,58594.21085,0.188861276,-757741.8521,816336.063
Hunter Coast Offshore Wind Project (proposed) ,337.5314812,39.38556257,119.8043795,91219396.98,294.0190072,85726532.32,5492864.655,,339.1400277,40.35876308,118.7507686,91116356.03,293.6868849,85958134.55,5158221.478,,-1.608546497,-0.973200513,1.053610964,103040.9451,0.332122305,-231602.2322,334643.1773
Muswellbrook Solar Farm ,407.0396306,47.13167964,96.1462864,113300865.3,365.1921524,91234334.81,22066530.47,,407.0383558,47.1322052,96.20572352,113300232.9,365.1901142,91249126.73,22051106.2,,0.001274787,-0.000525562,-0.059437126,632.35115,0.002038199,-14791.91751,15424.26867
Wollongong Offshore Wind Project (proposed),373.6841138,42.65516365,97.96518006,90235175.19,290.8466565,85995850.7,4239324.485,,373.3201831,43.51039626,97.92116998,90230801.33,290.8325587,86184953.81,4045847.521,,0.363930779,-0.85523261,0.044010082,4373.854348,0.014097838,-189103.1091,193476.9634
Shoalhaven Solar Farm ,281.1875841,73.39488298,99.83491117,88891578.94,286.5159676,83192250.06,5699328.874,,282.4718589,73.27489845,98.965202,88875963.55,286.4656359,83109949.49,5766014.06,,-1.284274744,0.119984525,0.869709168,15615.3879,0.050331629,82300.57413,-66685.18623
