Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,,,,,,,
Gippsland offshore wind,284.5898113,71.77943244,134.456843,99125320.64,319.5014364,91797205.67,7328114.965,,285.0219963,71.77496527,134.0263197,99117439.83,319.4760349,91745581.4,7371858.433,,0.432185036,-0.00446717,-0.430523253,-7880.804948,-0.025401466,-51624.27246,43743.46752
Hazelwood North Solar Farm,264.5562648,66.60399942,138.9558325,96633494.47,311.4697646,88778469.46,7855025.011,,262.3620956,67.16599956,140.9756999,96626026.86,311.445695,89155634.31,7470392.559,,-2.194169244,0.562000138,2.019867412,-7467.607962,-0.024069647,377164.8432,-384632.4511
Glenrowan solar farm,417.9877675,46.18375313,130.7839967,101749131.1,327.9585208,101030720.5,718410.5261,,419.810845,45.72802116,130.1705763,101748765,327.9573408,100985877.1,762887.8851,,1.823077453,-0.455731967,-0.61342049,-366.097561,-0.001180008,-44843.45661,44477.35905
Hawkesdale wind farm,414.8737152,38.58843029,91.7505043,96903510.62,312.3400826,88693709.73,8209800.889,,411.5830956,44.08288937,91.75921228,96754930.09,311.8611767,89855749.02,6899181.061,,-3.290619626,5.494459077,0.008707978,-148580.5339,-0.47890583,1162039.294,-1310619.828
Mortlake Energy Hub,412.5093535,36.65389098,92.63612518,96826927.09,312.093238,88041930.14,8784996.954,,412.5106355,36.65345582,92.63611001,96826908.47,312.093178,88041969.02,8784939.451,,0.001281962,-0.000435165,-1.51739E-05,-18.6171969,-6.00071E-05,38.8859079,-57.50310476
Golden Plains Wind Farm,281.8671391,27.98832464,122.0562905,92916100.63,299.4878344,75650567.46,17265533.17,,282.0563262,28.08956106,121.9349337,92914508.05,299.4827012,75674610.26,17239897.79,,0.189187094,0.101236421,-0.121356832,-1592.57652,-0.005133204,24042.80587,-25635.38239
Elaine Solar Farm,275.8353427,25.71806487,133.6379209,93445633.77,301.1946294,77083039.69,16362594.08,,269.8106998,25.4525716,136.5516544,93410801.47,301.0823577,76938391.42,16472410.05,,-6.024642849,-0.265493264,2.913733496,-34832.29749,-0.112271708,-144648.2665,109815.969
Warracknabeal Energy Park (proposed),253.8072229,53.34262668,153.7688117,94496002.65,304.5801858,87207375.3,7288627.35,,285.019701,47.47464076,139.845633,94443688.45,304.4115663,86148338.87,8295349.579,,31.21247811,-5.867985921,-13.9231787,-52314.20241,-0.168619508,-1059036.432,1006722.229
Murra Warra Solar Farm (proposed),257.9237211,59.12157593,149.1715534,94957056.7,306.0662585,88280086.01,6676970.694,,275.5952825,56.4895557,146.3400778,94921153.04,305.9505336,89139099.03,5782054.006,,17.67156141,-2.632020233,-2.831475636,-35903.66425,-0.115724945,859013.0235,-894916.6878
Gannawarra Solar Farm,325.4138982,27.50591026,171.8042237,99293352.19,320.0430369,93640125.5,5653226.687,,349.502631,29.16684793,141.2277455,96585493.25,311.3150467,89677234.75,6908258.497,,24.08873288,1.660937667,-30.57647815,-2707858.943,-8.727990147,-3962890.753,1255031.81
Meering West Wind Farm,339.565753,29.42707233,143.0838488,95736238.21,308.5777219,88906241.26,6829996.95,,339.8852389,28.76872228,143.9364419,95702230.24,308.4681071,88969816.95,6732413.29,,0.319485885,-0.658350045,0.852593055,-34007.9726,-0.109614738,63575.68747,-97583.66007
Coopers Gap ,244.9399628,55.22788749,88.55586589,73867181.83,238.0892243,70339755.71,3527426.116,,289.842444,28.76267764,89.1530066,73824158.49,237.9505511,68728490.05,5095668.438,,44.9024812,-26.46520985,0.597140715,-43023.33768,-0.138673127,-1611265.659,1568242.322
Dulacca Wind Farm,272.3099865,43.51855016,88.12775423,76295271.13,245.9154589,70442698.54,5852572.59,,272.9078631,42.91598903,89.0507557,76292052.17,245.9050836,70576661.69,5715390.486,,0.59787659,-0.602561129,0.923001468,-3218.954518,-0.010375357,133963.1502,-137182.1047
Mount Emerald Wind Farm,327.9969129,12.43144041,71.84901041,66955838.85,215.8125346,64707411.05,2248427.793,,330.4195739,11.74201585,70.62937118,66944072.12,215.774608,64522750.48,2421321.642,,2.422660996,-0.689424566,-1.219639226,-11766.7275,-0.0379266,-184660.5757,172893.8482
Kaban,268.614296,16.75422996,75.52534375,64581734.49,208.1603046,59055094.62,5526639.864,,303.9466714,0,75.33551122,65583653.02,211.3896955,58803245.11,6780407.91,,35.33237537,-16.75422996,-0.189832538,1001918.533,3.229390919,-251849.5139,1253768.046
Sample data,228.8876437,29.30484938,91.50981713,63154205.35,203.5590825,61444043.59,1710161.763,,232.0158673,30.46546777,84.08452458,62786102.4,202.3726105,60342800.61,2443301.791,,3.128223614,1.160618386,-7.425292543,-368102.9458,-1.186472025,-1101242.974,733140.0279
Kennedy Energy Park Stage 1,326.9337307,8.211925662,63.39086278,64191771.14,206.9033719,61236624.51,2955146.631,,297.8185404,13.38400908,64.76045112,63911791.44,206.0009394,59242665.18,4669126.266,,-29.11519033,5.17208342,1.369588339,-279979.6964,-0.902432543,-1993959.331,1713979.635
Western Downs Green Power Hub,339.3620487,31.14239229,95.40240712,79232596.3,255.3830662,77498063.99,1734532.308,,331.5285372,36.68468118,95.40202781,79227938.58,255.3680535,78073330.91,1154607.673,,-7.833511461,5.542288893,-0.000379303,-4657.718566,-0.015012792,575266.9166,-579924.6351
Daydream Solar Farm,279.8367484,25.1438714,73.88606804,66018441.02,212.7911072,62557756.21,3460684.805,,279.9190196,25.04519066,74.15906979,66013197.48,212.7742062,62607989.25,3405208.232,,0.082271196,-0.098680731,0.273001753,-5243.538416,-0.01690101,50233.03433,-55476.57275
Kidston Solar Project KS1,289.4507914,8.743147998,74.07994245,60839647.21,196.0987823,59116455.36,1723191.845,,292.1604111,9.015930776,67.84231935,60455968.8,194.8621073,57998498.48,2457470.321,,2.70961973,0.272782778,-6.237623103,-383678.4021,-1.236674946,-1117956.878,734278.4758
