base_year,location,data_year,total_deficit_mwh,deficit_hours,total_gen_mwh,avg_storage_mwh
2019,Sample data,2023,1278.32,25,641648.81,450.87
2019,Sample data,2024,1462.71,29,638637.01,443.19
2019,Kennedy Energy Park Stage 1,2019,230.46,10,544256.83,282.63
2019,Kennedy Energy Park Stage 1,2020,1768.85,48,530143.18,275.63
2019,Kennedy Energy Park Stage 1,2021,557.61,23,507786.16,273.12
2019,Kennedy Energy Park Stage 1,2022,2377.19,53,507895.44,274.26
2019,Kennedy Energy Park Stage 1,2023,1561.5,38,524278.14,275.16
2019,Kennedy Energy Park Stage 1,2024,1115.7,34,517919.04,273.37
2019,Western Downs Green Power Hub,2019,349.22,7,628568.4,411.69
2019,Western Downs Green Power Hub,2020,318.2,5,604924.01,409.85
2019,Western Downs Green Power Hub,2021,1451.25,27,601032.13,402.91
2019,Western Downs Green Power Hub,2022,2243.45,40,590469.65,397.74
2019,Western Downs Green Power Hub,2023,524.96,9,615619.39,412.68
2019,Western Downs Green Power Hub,2024,1491.55,30,582166.64,399.19
2019,Daydream Solar Farm,2019,191.93,9,570936.37,302.86
2019,Daydream Solar Farm,2020,573.19,16,567680.14,301.43
2019,Daydream Solar Farm,2021,866.51,23,546592.29,296.47
2019,Daydream Solar Farm,2022,1533.37,35,550784.88,298.31
2019,Daydream Solar Farm,2023,257.46,10,564139.41,300.59
2019,Daydream Solar Farm,2024,622.76,18,556331.49,302.01
2019,Kidston Solar Project KS1,2019,54.48,8,531075.92,290.03
2019,Kidston Solar Project KS1,2020,1520.57,48,514915.18,274.95
2019,Kidston Solar Project KS1,2021,2286.62,64,493035.7,274.68
2019,Kidston Solar Project KS1,2022,1666.21,42,488637.48,278.04
2019,Kidston Solar Project KS1,2023,2268.13,53,510426.64,278.79
2019,Kidston Solar Project KS1,2024,1034.56,29,504581.9,276.25
2019,Emerald Solar Farm,2019,86.14,6,528492.81,315.51
2019,Emerald Solar Farm,2020,1135.6,31,519519.6,311.76
2019,Emerald Solar Farm,2021,1611.8,30,514995.49,311.39
2019,Emerald Solar Farm,2022,3771.2,71,502601.7,304.39
2019,Emerald Solar Farm,2023,1078.94,25,518196.7,313.01
2019,Emerald Solar Farm,2024,2364.77,49,506203.12,308.77
2019,Ross River Solar Farm ,2019,110.19,7,612056.62,274.57
2019,Ross River Solar Farm ,2020,178.17,12,601577.32,272.07
2019,Ross River Solar Farm ,2021,839.87,25,577315.59,268.81
2019,Ross River Solar Farm ,2022,781.97,21,579927.8,271.13
2019,Ross River Solar Farm ,2023,94.5,9,601478.63,272.6
2019,Ross River Solar Farm ,2024,442.15,14,590143.28,273.06
2019,Childers Solar Farm,2019,272.18,5,558957.6,361.55
2019,Childers Solar Farm,2020,1347.07,26,537386.92,354.51
