Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($)
Gippsland offshore wind,288.18520331819735,47.74710609900864,119.11295886566842,88805152.61212125,286.237397621664,81479221.26255818,7325931.349563071
Hazelwood North Solar Farm,274.6398867784893,68.96325393625992,127.44322641585791,93183164.45239079,300.34863642994617,87922696.40029183,5260468.052098965
Glenrowan solar farm,359.11639544729616,111.04719749427153,144.94776447068892,131945251.224406,425.2868693776181,115614239.3198599,16331011.90454609
Hawkesdale wind farm,256.79357503649055,75.17823364558551,106.19254839434423,86553169.51858582,278.97878974564327,82080136.90526576,4473032.613320052
Mortlake Energy Hub,229.91636214205664,79.15179412332445,122.35204798558823,88334335.31901632,284.71985598393655,83717980.75447069,4616354.564545631
Golden Plains Wind Farm,270.61040553129106,48.478808621165165,96.64525477018809,75898275.99616739,244.6358613897418,73779170.6822452,2119105.3139222036
Elaine Solar Farm,276.6880928670938,45.89982914314542,91.74450283139521,75176354.37466478,242.30895850012823,72610934.86616087,2565419.5085039176
Warracknabeal Energy Park (proposed),273.9743516439716,34.9378058727779,110.1063965061383,78282041.40660352,252.31923096407257,73649135.95916928,4632905.447434234
Murra Warra Solar Farm (proposed),282.3756378745204,37.676886486937796,108.29974449009893,81465370.98819181,262.57976144461503,75099933.56436537,6365437.423826443
Gannawarra Solar Farm,346.8120051989794,30.137974465027998,108.06437950203056,82872596.98609023,267.11554225975897,81342535.10488917,1530061.8812010519
