Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,,,,,,,
Meering West Wind Farm,325.4585271,34.32784427,102.5674292,82604126.73,266.250207,78375459.54,4228667.186,,324.9163891,34.51399886,102.4373532,82601587.95,266.242024,78325626.72,4275961.234,,-0.542138052,0.186154594,-0.130075981,-2538.780454,-0.008183015,-49832.82855,47294.0481
Coopers Gap ,199.4040434,68.92659062,115.5549349,86555837.39,278.9873889,75040486.89,11515350.51,,204.647747,68.42519605,114.7717715,86519458.45,278.870132,75390670.74,11128787.72,,5.24370365,-0.501394568,-0.783163319,-36378.93782,-0.11725685,350183.852,-386562.7898
Dulacca Wind Farm,205.562356,48.17720184,90.07229099,73859699.33,238.0651066,63486237.19,10373462.14,,205.5663508,48.17560724,90.10356542,73859243.42,238.0636371,63494092.29,10365151.13,,0.003994852,-0.001594601,0.031274429,-455.9051692,-0.001469477,7855.105673,-8311.010842
Mount Emerald Wind Farm,393.0130981,0,76.83940695,77447862.1,249.6304983,70909513.7,6538348.401,,393.0131004,0,76.83951965,77447860.87,249.6304943,70909542.09,6538318.778,,2.36809E-06,0,0.000112695,-1.235012501,-3.9807E-06,28.38732511,-29.62233761
Kaban,376.13023,2.314492522,73.58058528,73063737.68,235.4995574,68545046.84,4518690.834,,376.7061624,1.576136999,75.43091963,73056142.4,235.4750762,68867765.6,4188376.803,,0.575932399,-0.738355523,1.85033435,-7595.279703,-0.024481159,322718.7507,-330314.0304
Sample data,314.7797423,20.32377871,92.84408332,77768235.43,250.6631279,70485576.58,7282658.854,,324.4332702,19.51196095,87.57554111,77660642.06,250.3163322,70209162.45,7451479.607,,9.653527858,-0.811817751,-5.268542212,-107593.3721,-0.34679572,-276414.1251,168820.753
Kennedy Energy Park Stage 1,247.8744463,9.198899018,70.31358659,55107457.56,177.622748,52833980.54,2273477.018,,245.197056,9.501658812,72.75588349,55000864.61,177.2791768,53177560.14,1823304.473,,-2.67739025,0.302759794,2.442296897,-106592.9485,-0.343571148,343579.5962,-450172.5447
Western Downs Green Power Hub,151.2528668,69.98492198,131.3230316,76755255.64,247.3980842,72933300.15,3821955.585,,150.4082593,70.08218453,132.016132,76749147.7,247.3783971,73022925.49,3726222.21,,-0.844607529,0.097262545,0.69310043,-6107.936267,-0.019687143,89625.341,-95733.37499
Daydream Solar Farm,295.7076296,18.75967061,80.16136043,69609122.98,224.3646188,64360264.67,5248858.303,,295.7043229,18.76047993,80.158365,69608995.43,224.3642077,64359317.58,5249677.853,,-0.003306654,0.000809321,-0.002995428,-127.5473273,-0.000411111,-947.0979523,819.550625
Kidston Solar Project KS1,329.561009,7.722025101,64.84283533,62641019.01,201.9049767,61802346.33,838672.6758,,304.9072714,15.75450586,65.25128751,61900940.44,199.5195502,60986060.72,914879.7171,,-24.65373764,8.032480758,0.408452177,-740078.5731,-2.385426505,-816285.6144,76207.04134
Emerald Solar Farm,302.1835089,18.28830793,76.00253947,77548592.29,249.9551726,64040487.09,13508105.2,,303.6077638,17.65079574,76.92346277,77535403.77,249.9126632,64272645.77,13262758,,1.42425497,-0.637512197,0.920923292,-13188.52384,-0.042509344,232158.6801,-245347.2039
Ross River Solar Farm ,356.1990809,11.77884091,62.23533012,67260597.82,216.7948358,65837854.47,1422743.343,,355.8882633,12.11522204,61.02735296,67242816.06,216.7375216,65593518.93,1649297.133,,-0.31081762,0.336381132,-1.207977158,-17781.75174,-0.057314268,-244335.5411,226553.7894
Childers Solar Farm,407.7951655,36.84843756,80.43740011,93524309.53,301.4482177,84438366.02,9085943.512,,407.7510919,36.84497813,80.43941047,93524285.48,301.4481401,84432058.42,9092227.061,,-0.044073568,-0.003459426,0.002010366,-24.04943781,-7.75163E-05,-6307.598701,6283.549263
Haughton Solar Farm,324.8621415,15.99341524,67.56624301,66212037.69,213.4151094,64260465.19,1951572.505,,324.862132,15.99340907,67.56625579,66212036.51,213.4151056,64260465.32,1951571.189,,-9.57451E-06,-6.17178E-06,1.27818E-05,-1.182366401,-3.81101E-06,0.133451104,-1.31581741
Cattle Hill Wind Farm ,300.8447283,83.31676467,142.3008937,135878023.5,437.9630089,99238066.85,36639956.68,,324.3804666,77.95410577,140.1994114,135801118.5,437.7151283,100259516,35541602.51,,23.5357383,-5.362658893,-2.101482382,-76904.97596,-0.247880664,1021449.188,-1098354.164
Granville Harbour Wind Farm,454.0220341,42.67626992,162.0977015,116962597.6,376.994674,112561058.1,4401539.476,,450.1998522,51.8300016,158.9688319,116657858.6,376.0124372,113932552.8,2725305.856,,-3.822181949,9.15373168,-3.128869635,-304738.9592,-0.982236774,1371494.66,-1676233.619
"Huxley Wind Farm, King Island",285.4102441,76.17564411,106.2738189,96838927.05,312.1319163,86158932.13,10679994.91,,285.4820565,76.16770316,105.2470999,96829129.73,312.1003376,85910304.37,10918825.36,,0.071812374,-0.007940948,-1.026718935,-9797.316331,-0.031578779,-248627.7584,238830.4421
Musselroe Wind Farm,526.9806597,31.34654574,120.3259117,121660315.9,392.1363929,108479050.2,13181265.7,,564.292377,33.31746613,99.62980594,121396067,391.2846639,108809220.6,12586846.4,,37.31171731,1.970920392,-20.69610576,-264248.9351,-0.851729042,330170.3589,-594419.2941
Studland Bay Wind Farm ,351.532595,91.48211786,106.121918,106311402.4,342.6636659,99269183.69,7042218.666,,351.5323279,91.48150317,106.1232813,106311341.9,342.663471,99269309.89,7042031.986,,-0.000267148,-0.000614692,0.001363305,-60.481558,-0.000194945,126.1982487,-186.6798068
Sample data,444.335421,72.01376005,105.1007702,110212189.5,355.2367107,105593042.4,4619147.072,,444.3256128,72.05837193,105.0441602,110210467,355.2311588,105590584.1,4619882.888,,-0.00980821,0.044611882,-0.056609996,-1722.499133,-0.005551971,-2458.315497,735.8163636
Northern Midland Solar Farm,492.5721128,93.24236166,107.6873444,138481433.3,446.3543376,118746988.3,19734445,,450.5990459,117.1468129,106.7360874,137854881.8,444.3348325,119913311.3,17941570.46,,-41.97306696,23.90445121,-0.951257026,-626551.4657,-2.019505127,1166323.075,-1792874.541
Weasel Solar Farm ,305.1420379,82.36416496,127.4581946,136019675.9,438.419584,95830134.48,40189541.47,,296.867915,82.62393609,130.3629013,135995728.3,438.3423957,95539259.49,40456468.77,,-8.274122837,0.259771132,2.904706723,-23947.68844,-0.077188359,-290874.9864,266927.2979
Bell Bay Solar Farm,446.5225267,44.8532758,125.9289485,124059147.4,399.8683236,103193905,20865242.4,,457.4812542,43.66155016,125.0856281,124050636.8,399.8408922,104081686.1,19968950.68,,10.95872744,-1.191725641,-0.84332045,-8510.606605,-0.027431448,887781.1089,-896291.7155
King Island Solar Farm  ,285.4102441,76.17564411,106.2738189,96838927.05,312.1319163,86158932.13,10679994.91,,285.4820565,76.16770316,105.2470999,96829129.73,312.1003376,85910304.37,10918825.36,,0.071812374,-0.007940948,-1.026718935,-9797.316331,-0.031578779,-248627.7584,238830.4421
Woakwine Wind farm,173.5239562,95.68847652,171.7875206,95633171.86,308.2455177,93401215.68,2231956.177,,171.6613063,96.08490199,172.0956154,95614957.95,308.1868105,93347583.83,2267374.12,,-1.862649833,0.396425476,0.308094811,-18213.90976,-0.058707203,-53631.8528,35417.94304
Robertstown Solar Project,243.9650602,29.50745492,96.68698081,66133711.2,213.1626469,64778529.44,1355181.76,,243.5067801,32.36526895,93.81483266,66093008.16,213.0314526,64831353.43,1261654.73,,-0.458280136,2.857814023,-2.872148152,-40703.03546,-0.131194313,52823.99439,-93527.02985
Goyder South Hybrid Renewable Power Station,216.6595036,30.21271372,98.01126117,63222474.86,203.7791293,61716337.94,1506136.915,,216.659622,30.21271313,98.01119739,63222471.37,203.779118,61716337.48,1506133.888,,0.000118468,-5.88143E-07,-6.37854E-05,-3.483599998,-1.12284E-05,-0.456906699,-3.02669322
Cleve Wind Farm,350.1271287,36.55535501,65.29899674,78341931.32,252.5122686,72986094.34,5355836.981,,349.8346019,36.66360298,65.08553686,78340335.31,252.5071243,72925774.83,5414560.482,,-0.292526799,0.108247974,-0.213459877,-1596.012186,-0.005144278,-60319.51293,58723.50074
Yoorndoo Ilga Solar,268.2380055,28.95767379,81.61913137,65264349.8,210.3605151,64062457.36,1201892.436,,270.9855749,28.09202498,82.90918758,65263256.51,210.3569912,64494725.04,768531.4722,,2.747569378,-0.865648807,1.290056209,-1093.284053,-0.003523881,432267.6797,-433360.9637
Bodangora Wind Farm ,198.4586526,62.36150283,127.984577,79111448.71,254.9925825,76108761.86,3002686.842,,205.9201288,59.90902859,128.0090956,79089649.12,254.9223179,76386500.21,2703148.902,,7.461476275,-2.452474242,0.024518614,-21799.58977,-0.070264592,277738.3504,-299537.9401
Sapphire Wind Farm,261.5821375,39.74169564,108.498221,96940767.26,312.4601685,73009272.14,23931495.12,,247.5021937,40.42058816,107.5686573,96766513.26,311.8985117,71119984.86,25646528.4,,-14.07994379,0.678892515,-0.929563675,-174254,-0.561656728,-1889287.279,1715033.279
Metz Solar Farm ,256.2214987,40.54890186,112.6064338,92843616.2,299.2542021,73560727.6,19282888.6,,285.7586123,43.37169853,95.66291112,92736180.03,298.9079131,74048748.41,18687431.62,,29.53711359,2.822796672,-16.94352269,-107436.1708,-0.346289027,488020.8086,-595456.9794
Bullawah Wind Farm,295.7425335,40.76855918,98.53708534,75453480.02,243.2021919,75324974.19,128505.8334,,295.7491979,40.77744998,98.52861316,75452886.38,243.2002784,75326319.55,126566.8312,,0.006664474,0.008890795,-0.008472176,-593.6435359,-0.001913436,1345.358617,-1939.002153
Sunraysia Solar Farm,257.5053412,32.7634116,113.8008012,82757702.22,266.7452126,71769718.78,10987983.44,,257.5049689,32.76319027,113.8014871,82757674.25,266.7451225,71769776.42,10987897.83,,-0.000372302,-0.000221333,0.000685847,-27.96929051,-9.01508E-05,57.64200909,-85.6112995
Hunter Coast Offshore Wind Project (proposed) ,250.6924927,40.92924593,171.9440349,90552135.54,291.8682854,87725384.75,2826750.789,,248.1749263,52.5199137,140.6658093,89823228.19,289.5188661,82962611.42,6860616.771,,-2.517566425,11.59066778,-31.27822559,-728907.3459,-2.349419326,-4762773.328,4033865.982
Muswellbrook Solar Farm ,288.596657,32.23043505,131.5744743,86023684.71,277.2721505,80138346.12,5885338.59,,289.6418998,39.10178568,122.8575229,86007820.5,277.2210169,80096968.04,5910852.46,,1.045242785,6.871350626,-8.716951413,-15864.20929,-0.051133632,-41378.07941,25513.87012
Wollongong Offshore Wind Project (proposed),233.1746702,36.20211793,190.27556,92461184.86,298.0215467,88614079.98,3847104.874,,229.1404547,36.56917021,195.5884857,92418179.21,297.8829306,89512738.4,2905440.804,,-4.034215497,0.367052276,5.312925725,-43005.64983,-0.138616115,898658.4199,-941664.0698
Shoalhaven Solar Farm ,267.5590224,60.37408878,159.3762791,100494069.2,323.9131964,92454709.93,8039359.247,,266.2817476,60.77209449,159.623094,100488523.9,323.8953229,92463373.93,8025149.99,,-1.277274879,0.398005704,0.246814922,-5545.254711,-0.017873504,8664.002761,-14209.25747
