Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),,,,,,,,
Gippsland offshore wind,288.1852033,47.7471061,119.1129589,88805152.61,286.2373976,81479221.26,7325931.35,,288.0156614,48.19349497,119.1299684,88801705.06,286.2262854,81590572.54,7211132.521,,-0.169541968,0.446388871,0.01700953,-3447.555481,-0.011112185,111351.2735,-114798.829
Hazelwood North Solar Farm,274.6398868,68.96325394,127.4432264,93183164.45,300.3486364,87922696.4,5260468.052,,274.5851684,68.98617331,127.4558102,93183254.6,300.348927,87925270.23,5257984.369,,-0.054718348,0.022919371,0.012583751,90.14926881,0.00029057,2573.832722,-2483.683453
Glenrowan solar farm,359.1163954,111.0471975,144.9477645,131945251.2,425.2868694,115614239.3,16331011.9,,359.1072872,111.2116026,144.7163111,131943236.2,425.2803744,115603053,16340183.2,,-0.009108253,0.164405112,-0.231453343,-2015.068808,-0.006494984,-11186.35988,9171.291072
Hawkesdale wind farm,256.793575,75.17823365,106.1925484,86553169.52,278.9787897,82080136.91,4473032.613,,247.6053884,72.9204255,115.9838753,86535230.47,278.9209685,82654454.18,3880776.29,,-9.188186665,-2.257808141,9.791326858,-17939.05217,-0.05782128,574317.2708,-592256.3229
Mortlake Energy Hub,229.9163621,79.15179412,122.352048,88334335.32,284.719856,83717980.75,4616354.565,,229.7415808,79.20050697,122.4170091,88340706.32,284.740391,83725268.51,4615437.807,,-0.174781341,0.048712846,0.064961099,6370.998233,0.020535047,7287.75613,-916.7578967
Golden Plains Wind Farm,270.6104055,48.47880862,96.64525477,75898276,244.6358614,73779170.68,2119105.314,,270.2849727,48.16577955,97.10133058,75895682.25,244.6275012,73759153.28,2136528.969,,-0.325432863,-0.313029076,0.456075808,-2593.747936,-0.008360187,-20017.40264,17423.65471
Elaine Solar Farm,276.6880929,45.89982914,91.74450283,75176354.37,242.3089585,72610934.87,2565419.509,,274.9226002,45.96205051,94.14500948,75169717.13,242.2875653,72994464.08,2175253.052,,-1.765492639,0.062221371,2.400506651,-6637.246855,-0.021393221,383529.2093,-390166.4561
Warracknabeal Energy Park (proposed),273.9743516,34.93780587,110.1063965,78282041.41,252.319231,73649135.96,4632905.447,,273.9761601,34.96531087,110.0343516,78280884.13,252.3155008,73639401.77,4641482.36,,0.001808411,0.027504997,-0.072044945,-1157.274552,-0.003730136,-9734.187025,8576.912473
Murra Warra Solar Farm (proposed),282.3756379,37.67688649,108.2997445,81465370.99,262.5797614,75099933.56,6365437.424,,283.7201826,37.31991197,108.239299,81464214.17,262.5760328,75158458.29,6305755.88,,1.34454468,-0.356974514,-0.060445527,-1156.822735,-0.003728679,58524.7209,-59681.54363
Gannawarra Solar Farm,346.8120052,30.13797447,108.0643795,82872596.99,267.1155423,81342535.1,1530061.881,,347.3355294,30.01421766,108.5312203,82866623.98,267.09629,81491907.87,1374716.106,,0.523524172,-0.123756807,0.466840781,-5973.010453,-0.01925225,149372.7649,-155345.7753
