Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),Num Deficit
Gippsland offshore wind,371.7549081571878,64.31311868973866,106.73843580950701,96048408.19957674,309.5839103934786,94207848.21319659,1840559.9863801412,4
Hazelwood North Solar Farm,252.24784683762616,103.46171546511745,127.87675941396034,99728784.6613681,321.44652590287865,95085260.08869311,4643524.572674996,9
Glenrowan solar farm,301.6916699140535,89.91864958219146,134.50666894856707,112815491.65688562,363.62769268939763,99322305.06105463,13493186.595830994,13
