Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),Num Deficit
Gippsland offshore wind,238.43059077390865,36.03404333473135,71.68374829245909,72782556.87225935,234.59325341582385,59713151.68104071,13069405.191218637,175
Hazelwood North Solar Farm,217.04504447118734,54.09103822368713,67.11164964811553,73839447.67612813,237.99983134932518,60993494.649642,12845953.026486142,174
Glenrowan solar farm,240.6854339279221,52.338390437251846,73.29290879829657,81087324.06593883,261.3612379240575,65139030.63083204,15948293.435106795,202
