Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($),Num Deficit
Gippsland offshore wind,138.84996832167445,138.8499683204591,462.83322774325796,173857662.7726826,560.3792514832638,173857662.77135375,0.0013288598665894824,1
Hazelwood North Solar Farm,113.69562245818959,113.69562245818959,378.9854081939653,140984543.91098484,454.42238166312603,142361250.97297937,0.0,0
Glenrowan solar farm,138.38425326936843,138.38425326936843,461.280844231228,173274528.8204352,558.4996899933448,173274528.8204352,0.0,0
