Location,PV Size (MW),Wind Size (MW),Battery Size (MW),Annualized Cost ($),LCOE ($),Plant Cost ($),Model Year Penalty Cost ($)
Gippsland offshore wind,272.868948774842,38.175480024986825,139.280803002614,83403205.24758765,268.8258025707902,81710554.98928788,1692650.2582997745
Hazelwood North Solar Farm,271.2822282913205,53.639623727465725,101.6689450181728,87139152.32401164,280.8675336793284,76615751.93446356,10523400.389548078
Glenrowan solar farm,325.21777143225637,67.48311802077356,105.38840076110277,98846789.35171843,318.60367236653804,88661009.43108948,10185779.920628948
Hawkesdale wind farm,267.2008571468039,67.4726571532775,121.83227881391265,87217521.73229352,281.1201345118244,85112756.11094856,2104765.6213449477
Mortlake Energy Hub,254.12269407380006,71.82945810584344,110.24172293073319,91273220.51114602,294.19249157500735,81766006.62745671,9507213.883689309
Golden Plains Wind Farm,236.705916889106,84.45301399097548,95.33759642651904,86734413.13716577,279.56297546225875,79419505.99290162,7314907.144264143
Elaine Solar Farm,243.55992914402,74.46862031970883,85.45474809438002,84504553.27631676,272.37567534670995,74964900.94918823,9539652.327128531
Warracknabeal Energy Park (proposed),295.09806409333424,33.769913099559595,91.4396895834161,83120388.7122096,267.91422630849183,71442438.18162481,11677950.530584782
Murra Warra Solar Farm (proposed),285.15940612500833,49.18049765862479,90.85835993937863,84942924.15320912,273.78863546562167,74457331.94441305,10485592.208796062
Gannawarra Solar Farm,330.601603312211,25.862880110586357,99.93507867001742,87242296.71827634,281.199989422325,75942402.32937574,11299894.388900595
