4.000000000000000000e+00,3.690000000000000000e+02,6.660000000000000000e+02,3.800000000000000000e+01,3.690000000000000000e+02,6.660000000000000000e+02,2.000000000000000000e+00,3.690000000000000000e+02,6.660000000000000000e+02,1.100000000000000000e+01,3.690000000000000000e+02,6.660000000000000000e+02,2.100000000000000000e+01,3.690000000000000000e+02,6.660000000000000000e+02,2.900000000000000000e+01,3.690000000000000000e+02,6.660000000000000000e+02
0.000000000000000000e+00,2.204210272738613980e+02,3.400013794469144273e+02,0.000000000000000000e+00,2.410167520704027311e+02,3.564779592841474596e+02,0.000000000000000000e+00,1.758897784827045996e+02,3.043763804139889544e+02,0.000000000000000000e+00,1.654119636241923388e+02,2.959941285271791571e+02,0.000000000000000000e+00,2.309822701663302951e+02,3.484503737608895335e+02,0.000000000000000000e+00,1.985201713687027336e+02,3.224806947227874616e+02
0.000000000000000000e+00,2.418359481001190545e+02,4.534701379270096595e+02,0.000000000000000000e+00,2.606984057534111798e+02,4.783102380980600969e+02,0.000000000000000000e+00,1.849404356891246550e+02,3.723287289652886898e+02,0.000000000000000000e+00,1.356808848622986829e+02,3.245388364170181035e+02,0.000000000000000000e+00,2.368032564832797391e+02,4.578929789475133134e+02,0.000000000000000000e+00,1.953624814633287485e+02,3.987706798934504491e+02
0.000000000000000000e+00,2.504096361325257192e+02,4.873291152556506063e+02,0.000000000000000000e+00,2.641201105154711399e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.992870381340846393e+02,4.517583594725564353e+02,0.000000000000000000e+00,1.231006782901712171e+02,3.430193790491550772e+02,0.000000000000000000e+00,2.298490137205497206e+02,4.873291152556506063e+02,0.000000000000000000e+00,2.075319763206094592e+02,4.847962609499380164e+02
0.000000000000000000e+00,2.487510848633405658e+02,4.873291152556506063e+02,0.000000000000000000e+00,2.555162823884436989e+02,4.873291152556506063e+02,0.000000000000000000e+00,2.185368059125132731e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.261445463219726832e+02,3.639350161067332010e+02,0.000000000000000000e+00,2.190322143862923099e+02,4.873291152556506063e+02,0.000000000000000000e+00,2.243797276541812096e+02,4.873291152556506063e+02
0.000000000000000000e+00,2.352978868321706614e+02,4.873291152556506063e+02,0.000000000000000000e+00,2.324577534678137454e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.952563567696682298e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.525644998154211294e+02,4.059866159590700931e+02,0.000000000000000000e+00,2.089710885125519439e+02,4.873291152556506063e+02,0.000000000000000000e+00,2.074659726064379868e+02,4.873291152556506063e+02
0.000000000000000000e+00,2.072131510546167306e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.995358560709627227e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.697477394997852684e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.497754269904229147e+02,4.458069575514084590e+02,0.000000000000000000e+00,1.791172219721980241e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.904764867046501422e+02,4.873291152556506063e+02
0.000000000000000000e+00,1.643379723876728065e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.654953916581489466e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.420799464519983530e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.123914698145659798e+02,4.557201334030612543e+02,0.000000000000000000e+00,1.367488988288930898e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.472498615321204056e+02,4.873291152556506063e+02
0.000000000000000000e+00,1.085946632122148543e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.116173570542832323e+02,4.873291152556506063e+02,0.000000000000000000e+00,1.101236881980292708e+02,4.873291152556506063e+02,0.000000000000000000e+00,5.907758228861824534e+01,4.873291152556506063e+02,0.000000000000000000e+00,9.397533375067625627e+01,4.873291152556506063e+02,0.000000000000000000e+00,1.213061159776999176e+02,4.873291152556506063e+02
0.000000000000000000e+00,5.074323879821168504e+01,4.873291152556506063e+02,0.000000000000000000e+00,5.732861073557079123e+01,4.873291152556506063e+02,0.000000000000000000e+00,7.685682905550794430e+01,4.873291152556506063e+02,0.000000000000000000e+00,1.844303377855279535e+01,4.873291152556506063e+02,0.000000000000000000e+00,6.183276514904774501e+01,4.873291152556506063e+02,0.000000000000000000e+00,8.242550131062648688e+01,4.873291152556506063e+02
0.000000000000000000e+00,2.465305013062563688e+01,4.873291152556506063e+02,0.000000000000000000e+00,2.899829940109650650e+01,4.873291152556506063e+02,0.000000000000000000e+00,6.078242924723357277e+01,4.873291152556506063e+02,0.000000000000000000e+00,1.424422762124747166e+00,4.873291152556506063e+02,0.000000000000000000e+00,3.192510317936775976e+01,4.873291152556506063e+02,0.000000000000000000e+00,5.187598775400191187e+01,4.873291152556506063e+02
0.000000000000000000e+00,1.829258705044411926e+01,4.873291152556506063e+02,0.000000000000000000e+00,1.769283009797054262e+01,4.873291152556506063e+02,0.000000000000000000e+00,6.297448000972565296e+01,4.873291152556506063e+02,0.000000000000000000e+00,3.373632857663874329e+00,4.873291152556506063e+02,0.000000000000000000e+00,1.821761743138491951e+01,4.873291152556506063e+02,0.000000000000000000e+00,4.393219676868956469e+01,4.873291152556506063e+02
